Date,GC=F
2003-12-01,29396.59045852491
2003-12-02,29793.534837752635
2003-12-03,29808.293721209335
2003-12-04,30254.45286893557
2003-12-05,30115.78165863617
2003-12-08,30377.82922328396
2003-12-09,30207.954415337153
2003-12-10,30430.602694444722
2003-12-11,30064.234779505532
2003-12-12,30379.471918334886
2003-12-15,29707.900768425126
2003-12-16,30294.584037805223
2003-12-17,30364.612067432532
2003-12-18,30329.35421180487
2003-12-19,29871.082219608285
2003-12-22,29809.540256480937
2003-12-23,29350.938181276455
2003-12-24,29443.77482689164
2003-12-29,27752.544246616737
2003-12-30,29527.237527575508
2003-12-31,29442.247973984824
2004-01-05,28117.86945831111
2004-01-06,28525.92080673001
2004-01-07,28148.706401699976
2004-01-08,28130.780851299078
2004-01-09,27350.349794297814
2004-01-12,25830.458168558343
2004-01-13,26229.498085311883
2004-01-14,26593.0173483552
2004-01-15,25571.996316563083
2004-01-16,25976.304086041193
2004-01-20,26772.201337043985
2004-01-21,26856.838176076486
2004-01-22,26224.155980109204
2004-01-23,26535.483575656912
2004-01-26,26600.255663905504
2004-01-27,27739.61717238586
2004-01-28,29074.92975027632
2004-01-29,29369.655118621038
2004-01-30,29723.359687222925
2004-02-02,29828.15134392568
2004-02-03,28862.939469205303
2004-02-04,29072.709759145742
2004-02-05,29340.17536256256
2004-02-06,29826.82194699953
2004-02-09,29736.538930037714
2004-02-10,29464.21214132442
2004-02-11,29213.27175685506
2004-02-12,29058.941758574245
2004-02-13,29180.180796797486
2004-02-17,30077.611352783224
2004-02-18,30803.685267894965
2004-02-19,31331.215902456883
2004-02-20,30390.8216012892
2004-02-23,30505.50394695446
2004-02-24,30926.00588106034
2004-02-25,29530.721408079502
2004-02-26,29170.66282919425
2004-02-27,28230.47391882839
2004-03-01,27970.032044794043
2004-03-02,27449.609515910608
2004-03-03,27259.392814445415
2004-03-04,27331.96050807858
2004-03-05,27075.335861006195
2004-03-08,27293.1334711863
2004-03-09,27769.173294931476
2004-03-10,28291.243721466268
2004-03-11,28615.380261618728
2004-03-12,27920.270404550894
2004-03-15,28365.88036182348
2004-03-16,28343.402937937248
2004-03-17,29178.280200296525
2004-03-18,29317.697713837686
2004-03-19,29175.34508776208
2004-03-22,29972.38262308604
2004-03-23,30227.65270481493
2004-03-24,30663.98446079392
2004-03-25,30921.168802982767
2004-03-26,31407.34072014666
2004-03-29,31077.590554926624
2004-03-30,30115.06323438468
2004-03-31,30014.22550720516
2004-04-01,29801.00418900307
2004-04-02,29532.09627172531
2004-04-05,28380.358811520036
2004-04-06,28579.68600475124
2004-04-07,28685.50393317834
2004-04-08,29048.71531726094
2004-04-12,28941.81387678311
2004-04-13,28430.650423227373
2004-04-14,27734.991312749178
2004-04-15,28793.957131900792
2004-04-16,28676.224835763245
2004-04-19,28568.887639829125
2004-04-20,29230.744577069378
2004-04-21,28723.596362253607
2004-04-22,28828.44984742729
2004-04-23,28254.30575470287
2004-04-26,28357.635966618607
2004-04-27,28819.557857688847
2004-04-28,29029.71231277126
2004-04-29,29878.624276455113
2004-04-30,28522.099199263084
2004-05-03,30478.460831922286
2004-05-04,30290.430673718565
2004-05-05,29914.942822709658
2004-05-06,31302.47556577343
2004-05-07,33246.71183670352
2004-05-10,36822.06080319639
2004-05-11,33654.37396296438
2004-05-12,36687.70447864449
2004-05-13,36065.05216431202
2004-05-14,34280.76856542159
2004-05-17,36006.99542753922
2004-05-18,36022.9259758853
2004-05-19,36891.548244300524
2004-05-20,40276.637788997534
2004-05-21,39997.30836532209
2004-05-24,39283.11482641235
2004-05-25,37603.26005258403
2004-05-26,38669.25779616033
2004-05-27,37420.14270425264
2004-05-28,35826.58571558648
2004-06-01,38653.77463429994
2004-06-02,37595.02876138639
2004-06-03,38405.235249325306
2004-06-04,37374.659139578
2004-06-07,36839.79423728706
2004-06-08,36483.86334056408
2004-06-09,36621.86735377895
2004-06-10,36755.210372694826
2004-06-14,38589.6544079
2004-06-15,36917.43632666453
2004-06-16,37244.95106975582
2004-06-17,37183.43550323548
2004-06-18,38359.44062055633
2004-06-21,37912.5694117899
2004-06-22,38008.79420725129
2004-06-23,37381.65898289239
2004-06-24,36844.33734251834
2004-06-25,37642.64490282825
2004-06-28,38340.33908667598
2004-06-29,36576.71825541506
2004-06-30,35560.75696138568
2004-07-01,35313.87708630122
2004-07-02,33972.93850873914
2004-07-06,33752.001635417924
2004-07-07,33999.054870553526
2004-07-08,35568.09495708398
2004-07-09,34849.23350917237
2004-07-12,34534.74377226674
2004-07-13,34243.42470854206
2004-07-14,33856.05313559331
2004-07-15,33399.93707773733
2004-07-16,32978.532070373396
2004-07-19,32504.56582814511
2004-07-20,32640.80081805683
2004-07-21,33382.85251927991
2004-07-22,33752.91315370701
2004-07-23,33925.65491494
2004-07-26,34896.272941201285
2004-07-27,33621.583744127485
2004-07-28,33795.33869887749
2004-07-29,32792.401669582774
2004-07-30,33218.79189502799
2004-08-02,33718.883300490226
2004-08-03,34140.12600845058
